#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
259,OIMEX,27.4,27.5,27.2,0,27.3,0.1,56,2.501,"91,425"
260,OLYMPIC,146.2,150.5,146,0,144.7,1.5,23,0.288,"1,971"
261,ONEBANKPLC,8.8,8.9,8.8,0,8.8,0,30,1.017,"115,561"
262,ORIONINFU,413.4,417.7,401.5,0,413.8,-0.4,"1,319",84.025,"203,896"
263,ORIONPHARM,31,31.2,30.8,0,30.8,0.2,102,2.03,"65,659"
264,PADMALIFE,21,21.5,20.9,0,20.4,0.6,35,0.345,"16,324"
265,PADMAOIL,181.5,181.6,181.5,0,182.1,-0.6,9,0.043,236
266,PAPERPROC,94.2,94.6,93.2,0,93.5,0.7,161,4.863,"51,781"
267,PARAMOUNT,35.7,36,35.4,0,35.1,0.6,113,1.846,"51,797"
268,PDL,7.3,7.4,7.3,0,7.3,0,7,0.027,"3,671"
269,PENINSULA,12.3,12.6,12.3,0,12.1,0.2,7,0.028,"2,241"
270,PEOPLESINS,29,29.4,28.1,0,28,1,10,0.54,"19,023"
271,PF1STMF,5.2,5.2,5.1,0,5.1,0.1,2,0.005,"1,001"
272,PHARMAID,534.2,546,533.4,0,533.7,0.5,8,0.059,110
273,PHENIXINS,24.3,25,24.3,0,24.1,0.2,12,0.418,"17,050"
274,PHOENIXFIN,4.1,4.1,4.1,0,4,0.1,1,0,1
275,PHPMF1,3.1,3.1,3.1,0,3,0.1,1,0,1
276,PIONEERINS,44.1,44.3,43.6,0,43.6,0.5,73,1.195,"27,162"
277,PLFSL,2.3,2.4,2.3,0,2.3,0,11,0.013,"5,413"
278,POPULAR1MF,3,3.1,3,0,3,0,4,0.031,"10,302"
279,POPULARLIF,52.2,52.9,51.5,0,51.2,1,721,25.869,"493,604"
280,POWERGRID,35.4,35.8,35.3,0,35.5,-0.1,54,1.046,"29,567"
281,PRAGATIINS,53,53,53,0,52.3,0.7,1,0,1
282,PRAGATILIF,107.7,109.5,105.2,0,104.7,3,152,2.263,"21,027"
283,PREMIERBAN,9,9,9,0,9,0,9,0.053,"5,872"
284,PREMIERCEM,46.5,46.5,46.5,0,45.8,0.7,1,0.001,21
285,PREMIERLEA,3.5,3.5,3.5,0,3.5,0,4,0.018,"5,010"
